02912	28806023	com	Open COM3 @ 115200 baud Ctrl-X (UsbSerial)
04514	29001038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04515	29001283	tx	[3F]
04516	29001288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04517	29001532	tx	[3F]
04518	29001538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04519	29001782	tx	[3F]
04520	29001790	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04521	29002033	tx	[3F]
04522	29002040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04523	29002283	tx	[3F]
04524	29002288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04525	29002532	tx	[3F]
04526	29002538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04527	29002782	tx	[3F]
04528	29002787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04529	29003033	tx	[3F]
04530	29003038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04531	29003282	tx	[3F]
04532	29003290	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04533	29003533	tx	[3F]
04534	29003538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04535	29003782	tx	[3F]
04536	29003787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04537	29004034	tx	[3F]
04538	29004045	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04539	29004283	tx	[3F]
04540	29004291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04541	29004532	tx	[3F]
04542	29004539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04543	29004784	tx	[3F]
04544	29004789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04545	29005032	tx	[3F]
04546	29005037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
